,VIX,S&P500,VBMFX,VFINX
1990-01-02,17.239999771118164,386.1600036621094,2.031785249710083,17.956165313720703
1990-01-03,18.190000534057617,385.1700134277344,2.027475595474243,17.908967971801758
1990-01-04,19.219999313354492,382.0199890136719,2.029630184173584,17.76213264465332
1990-01-05,20.110000610351562,378.29998779296875,2.027475595474243,17.58907127380371
1990-01-08,20.260000228881836,380.0400085449219,2.0253195762634277,17.67298698425293
1990-01-09,22.200000762939453,375.55999755859375,2.0253195762634277,17.463211059570312
1990-01-10,22.440000534057617,373.0899963378906,2.0253195762634277,17.34784698486328
1990-01-11,20.049999237060547,374.3999938964844,2.0253195762634277,17.4107723236084
1990-01-12,24.639999389648438,365.2200012207031,2.0210108757019043,16.980751037597656
1990-01-15,26.34000015258789,362.0799865722656,2.025768280029297,16.839162826538086
1990-01-16,24.18000030517578,366.1199951171875,2.0192832946777344,17.02269744873047
1990-01-17,24.15999984741211,362.5400085449219,2.0192832946777344,16.860132217407227
1990-01-18,24.34000015258789,363.3800048828125,2.0084729194641113,16.896839141845703
1990-01-19,22.5,364.42999267578125,2.0106334686279297,16.944034576416016
1990-01-22,26.700000762939453,355.0400085449219,2.0106334686279297,16.508773803710938
1990-01-23,24.719999313354492,356.3599853515625,2.0106334686279297,16.571697235107422
1990-01-24,25.389999389648438,348.44000244140625,2.0041494369506836,16.508773803710938
1990-01-25,25.6299991607666,350.5199890136719,1.9998245239257812,16.29899787902832
1990-01-26,26.280000686645508,350.25,1.9933379888534546,16.283266067504883
1990-01-29,26.440000534057617,349.6700134277344,1.9933379888534546,16.257049560546875
1990-01-30,27.25,347.3800048828125,1.989015817642212,16.152162551879883
1990-01-31,25.360000610351562,353.94000244140625,1.9954982995986938,16.45632553100586
1990-02-01,24.8700008392334,353.67999267578125,1.9976630210876465,16.445833206176758
1990-02-02,24.31999969482422,356.0299987792969,1.9954982995986938,16.550718307495117
1990-02-05,24.540000915527344,357.2799987792969,1.9911774396896362,16.613658905029297
1990-02-06,24.690000534057617,355.04998779296875,1.989015817642212,16.508773803710938
1990-02-07,24.290000915527344,359.5299987792969,1.989015817642212,16.713285446166992
1990-02-08,23.770000457763672,358.70001220703125,1.9911774396896362,16.676589965820312
1990-02-09,23.690000534057617,359.5799865722656,2.0019867420196533,16.718534469604492
1990-02-12,24.3799991607666,355.8900146484375,1.9998245239257812,16.550718307495117
1990-02-13,23.760000228881836,357.010009765625,1.9998245239257812,16.59792709350586
1990-02-14,22.049999237060547,358.1000061035156,1.9998245239257812,16.645118713378906
1990-02-15,19.709999084472656,361.2300109863281,2.0104963779449463,16.79194450378418
1990-02-16,20.780000686645508,358.989990234375,2.0104963779449463,16.68706512451172
1990-02-20,22.780000686645508,353.9100036621094,1.995252013206482,16.451082229614258
1990-02-21,23.889999389648438,353.57000732421875,1.9930706024169922,16.435340881347656
1990-02-22,22.540000915527344,351.4800109863281,1.9996074438095093,16.340953826904297
1990-02-23,23.690000534057617,349.8999938964844,2.001783847808838,16.26753807067871
1990-02-26,23.559999465942383,354.8800048828125,2.0061397552490234,16.498275756835938
1990-02-27,22.690000534057617,356.6600036621094,2.008317470550537,16.582176208496094
1990-02-28,21.989999771118164,358.5,2.010504722595215,16.666091918945312
1990-03-01,21.899999618530273,359.4599914550781,2.003948450088501,16.70805549621582
1990-03-02,21.34000015258789,362.489990234375,2.006134510040283,16.849651336669922
1990-03-05,22.030000686645508,360.67999267578125,1.9995779991149902,16.765729904174805
1990-03-06,20.549999237060547,365.239990234375,1.9995779991149902,16.97550392150879
1990-03-07,19.100000381469727,364.19000244140625,2.0017638206481934,16.928308486938477
1990-03-08,19.739999771118164,367.7900085449219,2.0017638206481934,17.096107482910156
1990-03-09,20.299999237060547,365.4200134277344,1.9952071905136108,16.985990524291992
1990-03-12,20.06999969482422,366.239990234375,1.9973928928375244,17.02269744873047
1990-03-13,21.049999237060547,363.3699951171875,1.9908360242843628,16.8863468170166
1990-03-14,19.649999618530273,364.32000732421875,1.9952071905136108,16.93354606628418
1990-03-15,18.809999465942383,365.6300048828125,1.9952071905136108,16.99647331237793
1990-03-16,17.6200008392334,369.7900085449219,2.0017638206481934,17.180025100708008
1990-03-19,18.290000915527344,371.55999755859375,2.0017638206481934,17.26917839050293
1990-03-20,19.059999465942383,369.4700012207031,2.006134510040283,17.16953468322754
1990-03-21,20.100000381469727,367.489990234375,2.006134510040283,17.080387115478516
1990-03-22,22.739999771118164,363.1099853515625,2.006134510040283,16.87586212158203
1990-03-23,20.459999084472656,364.7699890136719,2.006134510040283,16.95453453063965
1990-03-26,19.59000015258789,365.44000244140625,2.008317470550537,16.985990524291992
1990-03-27,21.010000228881836,369.6400146484375,2.008317470550537,17.180025100708008
1990-03-28,19.770000457763672,370.19000244140625,2.008317470550537,17.20642852783203
1990-03-29,18.459999084472656,368.8800048828125,2.0017638206481934,17.143068313598633
1990-03-30,19.729999542236328,368.0,2.0121095180511475,17.100799560546875
1990-04-02,22.84000015258789,366.7200012207031,2.0121095180511475,17.042720794677734
1990-04-03,20.440000534057617,372.1300048828125,2.0121095180511475,17.29621696472168
1990-04-04,22.030000686645508,369.5299987792969,2.0187149047851562,17.174747467041016
1990-04-05,21.209999084472656,369.1499938964844,2.0209169387817383,17.158903121948242
1990-04-06,21.760000228881836,368.4800109863281,2.0209169387817383,17.12721824645996
1990-04-09,22.299999237060547,369.8900146484375,2.0187149047851562,17.19058609008789
1990-04-10,21.690000534057617,370.6499938964844,2.016512870788574,17.227556228637695
