,VIX,S&P500,VBMFX,VFINX
2019-09-27,17.219999313354492,5978.10986328125,10.814774513244629,268.5914611816406
2019-09-30,16.239999771118164,6008.58984375,10.846965789794922,269.9573974609375
2019-10-01,18.559999465942383,5935.2001953125,10.866475105285645,266.6653747558594
2019-10-02,20.559999465942383,5828.93017578125,10.876229286193848,261.8894348144531
2019-10-03,19.1200008392334,5876.85986328125,10.915245056152344,264.04156494140625
2019-10-04,17.040000915527344,5960.43017578125,10.925002098083496,267.79547119140625
2019-10-07,17.860000610351562,5933.759765625,10.895737648010254,266.5965576171875
2019-10-08,20.280000686645508,5841.56982421875,10.915245056152344,262.4495544433594
2019-10-09,18.639999389648438,5896.60009765625,10.885984420776367,264.9161376953125
2019-10-10,17.56999969482422,5934.56005859375,10.846965789794922,266.6260681152344
2019-10-11,15.579999923706055,6000.0400390625,10.807947158813477,269.5643005371094
2019-10-14,14.569999694824219,5991.72021484375,10.817703247070312,269.1908874511719
2019-10-15,13.539999961853027,6051.39013671875,10.79819393157959,271.8736572265625
2019-10-16,13.680000305175781,6039.68994140625,10.807947158813477,271.34295654296875
2019-10-17,13.789999961853027,6056.83984375,10.79819393157959,272.1094665527344
2019-10-18,14.25,6033.259765625,10.807947158813477,271.0482177734375
2019-10-21,14.0,6074.89990234375,10.788437843322754,272.9153137207031
2019-10-22,14.460000038146973,6053.419921875,10.79819393157959,271.9522705078125
2019-10-23,14.010000228881836,6070.8701171875,10.79819393157959,272.73846435546875
2019-10-24,13.710000038146973,6082.5400390625,10.79819393157959,273.25927734375
2019-10-25,12.649999618530273,6107.419921875,10.788437843322754,274.3795471191406
2019-10-28,13.109999656677246,6141.509765625,10.76893138885498,275.9027404785156
2019-10-29,13.199999809265137,6136.47021484375,10.76893138885498,275.8143310546875
2019-10-30,12.329999923706055,6156.93017578125,10.807947158813477,276.6004333496094
2019-10-31,13.220000267028809,6138.72998046875,10.870512008666992,275.7749938964844
2019-11-01,12.300000190734863,6198.58984375,10.860737800598145,278.4675598144531
2019-11-04,12.829999923706055,6221.6298828125,10.831409454345703,279.4994201660156
2019-11-05,13.100000381469727,6214.27978515625,10.792308807373047,279.165283203125
2019-11-06,12.619999885559082,6219.10009765625,10.811858177185059,279.3814697265625
2019-11-07,12.729999542236328,6238.990234375,10.762981414794922,280.2757263183594
2019-11-08,12.069999694824219,6256.10986328125,10.753205299377441,281.042236328125
2019-11-11,12.6899995803833,6243.81005859375,10.753205299377441,280.4821472167969
2019-11-12,12.680000305175781,6253.91015625,10.762981414794922,280.93414306640625
2019-11-13,13.0,6258.580078125,10.78253173828125,281.1503601074219
2019-11-14,13.050000190734863,6265.419921875,10.811858177185059,281.4549865722656
2019-11-15,12.050000190734863,6314.740234375,10.802083015441895,283.6660461425781
2019-11-18,12.460000038146973,6318.02001953125,10.821634292602539,283.8134460449219
2019-11-19,12.859999656677246,6314.66015625,10.831409454345703,283.65625
